Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS,SB%,ISO,BABIP,BB%,SO%,BB/SO,HR/SB,XBH%,RBI Rate,R Rate,Cluster,Hitter_Type
alexabl01,Blaze Alexander,25.0,ARI,NL,61.0,185.0,166.0,19.0,41.0,7.0,0.0,3.0,21.0,3.0,1.0,15.0,49.0,57.0,1.0,3.0,1.0,0.0,0.0,0.247,0.321,0.343,0.664,0.75,0.096,0.333,0.081,0.265,0.306,1.0,0.244,0.114,0.103,2,Balanced Hitter
belljo02,Josh Bell,31.0,ARI/MIA,NL,145.0,603.0,538.0,62.0,134.0,23.0,2.0,19.0,71.0,0.0,1.0,51.0,120.0,218.0,22.0,6.0,0.0,3.0,1.0,0.249,0.319,0.405,0.725,0.0,0.156,0.286,0.085,0.199,0.425,0.0,0.328,0.118,0.103,2,Balanced Hitter
carroco02,Corbin Carroll,23.0,ARI,NL,158.0,684.0,589.0,121.0,136.0,22.0,14.0,22.0,74.0,35.0,8.0,73.0,130.0,252.0,3.0,10.0,3.0,9.0,0.0,0.231,0.322,0.428,0.749,0.814,0.197,0.256,0.107,0.19,0.562,0.629,0.426,0.108,0.177,3,Speed-focused Hitter
delcaad01,Adrian Del Castillo,24.0,ARI,NL,25.0,87.0,80.0,12.0,25.0,5.0,0.0,4.0,19.0,1.0,1.0,7.0,28.0,42.0,1.0,0.0,0.0,0.0,0.0,0.313,0.368,0.525,0.893,0.5,0.212,0.438,0.08,0.322,0.25,4.0,0.36,0.218,0.138,3,Speed-focused Hitter
grichra01,Randal Grichuk,32.0,ARI,NL,106.0,279.0,254.0,40.0,74.0,20.0,2.0,12.0,46.0,0.0,0.0,20.0,46.0,134.0,5.0,3.0,0.0,2.0,0.0,0.291,0.348,0.528,0.875,0.0,0.237,0.313,0.072,0.165,0.435,0.0,0.459,0.165,0.143,3,Speed-focused Hitter
gurrilo01,Lourdes Gurriel Jr.,30.0,ARI,NL,133.0,553.0,513.0,72.0,143.0,22.0,2.0,18.0,75.0,7.0,1.0,29.0,101.0,223.0,16.0,6.0,0.0,5.0,1.0,0.279,0.322,0.435,0.757,0.875,0.156,0.313,0.052,0.183,0.287,2.571,0.294,0.136,0.13,3,Speed-focused Hitter
herrejo04,José Herrera,27.0,ARI,NL,42.0,114.0,97.0,11.0,22.0,4.0,1.0,1.0,13.0,0.0,0.0,9.0,27.0,31.0,1.0,0.0,7.0,1.0,0.0,0.227,0.29,0.32,0.609,0.0,0.093,0.3,0.079,0.237,0.333,0.0,0.273,0.114,0.096,2,Balanced Hitter
marteke01,Ketel Marte,30.0,ARI,NL,136.0,583.0,504.0,93.0,147.0,23.0,2.0,36.0,95.0,7.0,1.0,65.0,106.0,282.0,9.0,5.0,0.0,9.0,7.0,0.292,0.372,0.56,0.932,0.875,0.268,0.299,0.111,0.182,0.613,5.143,0.415,0.163,0.16,3,Speed-focused Hitter
mccarja02,Jake McCarthy,26.0,ARI,NL,142.0,495.0,442.0,66.0,126.0,13.0,7.0,8.0,56.0,25.0,6.0,31.0,78.0,177.0,4.0,14.0,5.0,3.0,1.0,0.285,0.349,0.4,0.749,0.806,0.115,0.329,0.063,0.158,0.397,0.32,0.222,0.113,0.133,2,Balanced Hitter
morenga01,Gabriel Moreno,24.0,ARI,NL,97.0,351.0,305.0,39.0,81.0,18.0,1.0,5.0,45.0,3.0,1.0,41.0,52.0,116.0,10.0,2.0,0.0,3.0,1.0,0.266,0.353,0.38,0.734,0.75,0.114,0.303,0.117,0.148,0.788,1.667,0.296,0.128,0.111,2,Balanced Hitter
