Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS,SB%,ISO,BABIP,BB%,SO%,BB/SO,HR/SB,XBH%,RBI Rate,R Rate,Cluster,Hitter_Type,Speed_Tier
abramcj01,CJ Abrams,23.0,WSN,NL,138.0,602.0,541.0,79.0,133.0,29.0,6.0,20.0,65.0,31.0,12.0,40.0,128.0,234.0,4.0,16.0,1.0,4.0,3.0,0.246,0.314,0.433,0.747,0.721,0.187,0.285,0.066,0.213,0.312,0.645,0.414,0.108,0.131,2,Balanced Hitter,High Speed
abreujo02,José Abreu,37.0,HOU,AL,35.0,120.0,113.0,10.0,14.0,2.0,0.0,2.0,7.0,0.0,0.0,4.0,28.0,22.0,4.0,2.0,0.0,1.0,0.0,0.124,0.167,0.195,0.361,0.0,0.071,0.143,0.033,0.233,0.143,0.0,0.286,0.058,0.083,0,Contact Hitter,Low Speed
abreuwi02,Wilyer Abreu,25.0,BOS,AL,132.0,447.0,399.0,59.0,101.0,33.0,2.0,15.0,58.0,8.0,3.0,40.0,125.0,183.0,7.0,3.0,0.0,5.0,0.0,0.253,0.322,0.459,0.781,0.727,0.206,0.326,0.089,0.28,0.32,1.875,0.495,0.13,0.132,2,Balanced Hitter,Moderate Speed
acunajo01,Luisangel Acuña,22.0,NYM,NL,14.0,40.0,39.0,6.0,12.0,2.0,1.0,3.0,6.0,0.0,1.0,1.0,6.0,25.0,1.0,0.0,0.0,0.0,0.0,0.308,0.325,0.641,0.966,0.0,0.333,0.3,0.025,0.15,0.167,0.0,0.5,0.15,0.15,2,Balanced Hitter,Low Speed
acunaro01,Ronald Acuña Jr.,26.0,ATL,NL,49.0,222.0,192.0,38.0,48.0,8.0,1.0,4.0,15.0,16.0,3.0,27.0,53.0,70.0,4.0,3.0,0.0,0.0,0.0,0.25,0.351,0.365,0.716,0.842,0.115,0.326,0.122,0.239,0.509,0.25,0.271,0.068,0.171,1,Power Hitter,Low Speed
adamewi01,Willy Adames,28.0,MIL,NL,161.0,688.0,610.0,93.0,153.0,33.0,0.0,32.0,112.0,21.0,4.0,74.0,173.0,282.0,12.0,1.0,0.0,3.0,3.0,0.251,0.331,0.462,0.794,0.84,0.211,0.297,0.108,0.251,0.428,1.524,0.425,0.163,0.135,2,Balanced Hitter,Low Speed
adamsjo03,Jordyn Adams,24.0,LAA,AL,11.0,38.0,35.0,4.0,8.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.229,0.289,0.314,0.604,1.0,0.085,0.318,0.079,0.316,0.25,0.5,0.125,0.105,0.105,0,Contact Hitter,Low Speed
adamsri03,Riley Adams,28.0,WSN,NL,41.0,130.0,116.0,10.0,26.0,5.0,1.0,2.0,8.0,1.0,0.0,10.0,35.0,39.0,4.0,2.0,0.0,2.0,1.0,0.224,0.292,0.336,0.629,1.0,0.112,0.296,0.077,0.269,0.286,2.0,0.308,0.062,0.077,0,Contact Hitter,Low Speed
adelljo01,Jo Adell,25.0,LAA,AL,130.0,451.0,405.0,54.0,84.0,15.0,2.0,20.0,62.0,15.0,10.0,35.0,126.0,163.0,9.0,7.0,0.0,3.0,1.0,0.207,0.28,0.402,0.682,0.6,0.195,0.244,0.078,0.279,0.278,1.333,0.44,0.137,0.12,2,Balanced Hitter,Moderate Speed
ahmedni01,Nick Ahmed,34.0,LAD/SFG,NL,71.0,228.0,210.0,20.0,48.0,6.0,1.0,2.0,17.0,2.0,1.0,11.0,51.0,62.0,6.0,1.0,3.0,3.0,0.0,0.229,0.267,0.295,0.562,0.667,0.066,0.288,0.048,0.224,0.216,1.0,0.188,0.075,0.088,0,Contact Hitter,Moderate Speed
