Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS,SB%,ISO,BABIP,BB%,SO%,BB/SO,HR/SB,XBH%,RBI Rate,R Rate
alonspe01,Pete Alonso,29.0,NYM,NL,13.0,58.0,44.0,10.0,12.0,1.0,0.0,4.0,10.0,2.0,0.0,12.0,15.0,25.0,2.0,1.0,0.0,1.0,1.0,0.273,0.431,0.568,0.999,1.0,0.295,0.308,0.207,0.259,0.8,2.0,0.417,0.172,0.172
alvarfr01,Francisco Alvarez,22.0,NYM,NL,13.0,47.0,43.0,4.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,13.0,12.0,1.0,1.0,0.0,1.0,0.0,0.256,0.298,0.279,0.577,0.0,0.023,0.355,0.043,0.277,0.154,,0.091,0.064,0.085
arraelu01,Luis Arráez*,27.0,SDP,NL,7.0,31.0,31.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.226,0.226,0.226,0.452,0.0,0.0,0.233,0.0,0.032,0.0,,0.0,0.0,0.129
bettsmo01,Mookie Betts,31.0,LAD,NLWS,16.0,75.0,62.0,14.0,18.0,5.0,0.0,4.0,16.0,2.0,0.0,11.0,10.0,35.0,1.0,0.0,0.0,2.0,3.0,0.29,0.387,0.565,0.951,1.0,0.275,0.28,0.147,0.133,1.1,2.0,0.5,0.213,0.187
chishja01,Jazz Chisholm Jr.*,26.0,NYY,ALWS,14.0,61.0,55.0,5.0,10.0,1.0,0.0,2.0,2.0,6.0,1.0,4.0,14.0,17.0,0.0,1.0,1.0,0.0,0.0,0.182,0.25,0.309,0.559,0.857,0.127,0.205,0.066,0.23,0.286,0.333,0.3,0.033,0.082
edmanto01,Tommy Edman#,29.0,LAD,NLWS,16.0,67.0,61.0,12.0,20.0,5.0,0.0,2.0,13.0,5.0,0.0,3.0,10.0,31.0,1.0,0.0,2.0,1.0,0.0,0.328,0.354,0.508,0.862,1.0,0.18,0.36,0.045,0.149,0.3,0.4,0.35,0.194,0.179
freemfr01,Freddie Freeman*,34.0,LAD,NLWS,13.0,55.0,52.0,6.0,13.0,0.0,1.0,4.0,13.0,1.0,0.0,3.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.25,0.291,0.519,0.81,1.0,0.269,0.22,0.055,0.127,0.429,4.0,0.385,0.236,0.109
fryda01,David Fry,28.0,CLE,AL,10.0,31.0,28.0,4.0,8.0,1.0,0.0,2.0,8.0,1.0,0.0,2.0,11.0,15.0,1.0,0.0,1.0,0.0,0.0,0.286,0.333,0.536,0.869,1.0,0.25,0.4,0.065,0.355,0.182,2.0,0.375,0.258,0.129
gimenan01,Andrés Giménez*,25.0,CLE,AL,10.0,40.0,37.0,4.0,8.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,13.0,10.0,2.0,1.0,0.0,0.0,0.0,0.216,0.275,0.27,0.545,1.0,0.054,0.333,0.05,0.325,0.154,0.0,0.25,0.025,0.1
greenri03,Riley Greene*,23.0,DET,AL,7.0,31.0,26.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,7.0,2.0,1.0,0.0,0.0,1.0,0.231,0.355,0.269,0.624,0.0,0.038,0.286,0.129,0.161,0.8,,0.167,0.032,0.032
