Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
adamja01,Jason Adam,32.0,SDP,NL,0.0,0.0,,3.38,5.0,0.0,0.0,0.0,0.0,0.0,5.1,4.0,2.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,20.0,3.35,0.75,6.8,1.7,0.0,10.1,0.0
bandaan01,Anthony Banda*,30.0,LAD,NLWS,0.0,0.0,,1.13,10.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,0.0,6.0,1.0,11.0,2.0,0.0,1.0,38.0,1.62,1.5,6.8,0.0,6.8,12.4,1.83
bibeeta01,Tanner Bibee,25.0,CLE,AL,0.0,1.0,0.0,3.45,4.0,4.0,0.0,0.0,0.0,0.0,15.2,19.0,7.0,6.0,2.0,4.0,1.0,16.0,3.0,0.0,0.0,68.0,4.12,1.468,10.9,1.1,2.3,9.2,4.0
boydma01,Matthew Boyd*,33.0,CLE,AL,0.0,0.0,,0.77,3.0,3.0,0.0,0.0,0.0,0.0,11.2,7.0,1.0,1.0,0.0,6.0,0.0,14.0,1.0,0.0,0.0,47.0,2.57,1.114,5.4,0.0,4.6,10.8,2.33
brasiry01,Ryan Brasier,36.0,LAD,NLWS,1.0,1.0,0.5,5.0,8.0,2.0,0.0,0.0,0.0,0.0,9.0,8.0,5.0,5.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,36.0,6.57,1.222,8.0,4.0,3.0,7.0,2.33
briesbe01,Beau Brieske,26.0,DET,AL,0.0,1.0,0.0,1.5,6.0,0.0,3.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,20.0,4.33,0.5,1.5,1.5,3.0,9.0,3.0
brownhu01,Hunter Brown,25.0,HOU,AL,0.0,0.0,,1.59,1.0,1.0,0.0,0.0,0.0,0.0,5.2,2.0,1.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,22.0,3.34,0.706,3.2,1.6,3.2,14.3,4.5
buehlwa01,Walker Buehler,29.0,LAD,NLWS,1.0,1.0,0.5,3.6,4.0,3.0,1.0,0.0,0.0,1.0,15.0,12.0,6.0,6.0,1.0,5.0,1.0,13.0,1.0,0.0,1.0,63.0,2.77,1.133,7.2,0.6,3.0,7.8,2.6
burneco01,Corbin Burnes,29.0,BAL,AL,0.0,1.0,0.0,1.13,1.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,27.0,2.79,0.75,5.6,0.0,1.1,3.4,3.0
buttojo01,José Buttó,26.0,NYM,NL,0.0,0.0,,6.43,6.0,0.0,2.0,0.0,0.0,0.0,7.0,6.0,6.0,5.0,2.0,3.0,0.0,8.0,1.0,0.0,0.0,32.0,6.31,1.286,7.7,2.6,3.9,10.3,2.67
caspabe01,Ben Casparius,25.0,LAD,NLWS,1.0,0.0,1.0,1.42,4.0,1.0,2.0,0.0,0.0,0.0,6.1,3.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,27.0,1.85,1.263,4.3,0.0,7.1,7.1,1.0
ceasedy01,Dylan Cease,28.0,SDP,NL,0.0,1.0,0.0,14.4,2.0,2.0,0.0,0.0,0.0,0.0,5.0,10.0,8.0,8.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,28.0,7.77,2.6,18.0,3.6,5.4,10.8,2.0
