Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,K%,BB%,K/BB,K9
adamja01,Jason Adam,32.0,SDP,NL,0.0,0.0,,3.38,5.0,0.0,0.0,0.0,0.0,0.0,5.1,4.0,2.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,20.0,3.296,0.784,7.059,1.765,0.0,10.1,0.0,0.3,0.0,0.0,10.588
bandaan01,Anthony Banda*,30.0,LAD,NLWS,0.0,0.0,,1.13,10.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,0.0,6.0,1.0,11.0,2.0,0.0,1.0,38.0,2.6,1.5,6.75,0.0,6.75,12.4,1.83,0.289,0.158,1.833,12.375
bibeeta01,Tanner Bibee,25.0,CLE,AL,0.0,1.0,0.0,3.45,4.0,4.0,0.0,0.0,0.0,0.0,15.2,19.0,7.0,6.0,2.0,4.0,1.0,16.0,3.0,0.0,0.0,68.0,3.495,1.513,11.25,1.184,2.368,9.2,4.0,0.235,0.059,4.0,9.474
boydma01,Matthew Boyd*,33.0,CLE,AL,0.0,0.0,,0.77,3.0,3.0,0.0,0.0,0.0,0.0,11.2,7.0,1.0,1.0,0.0,6.0,0.0,14.0,1.0,0.0,0.0,47.0,2.207,1.161,5.625,0.0,4.821,10.8,2.33,0.298,0.128,2.333,11.25
brasiry01,Ryan Brasier,36.0,LAD,NLWS,1.0,1.0,0.5,5.0,8.0,2.0,0.0,0.0,0.0,0.0,9.0,8.0,5.0,5.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,36.0,8.322,1.222,8.0,4.0,3.0,7.0,2.33,0.194,0.083,2.333,7.0
briesbe01,Beau Brieske,26.0,DET,AL,0.0,1.0,0.0,1.5,6.0,0.0,3.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,20.0,4.267,0.5,1.5,1.5,3.0,9.0,3.0,0.3,0.1,3.0,9.0
brownhu01,Hunter Brown,25.0,HOU,AL,0.0,0.0,,1.59,1.0,1.0,0.0,0.0,0.0,0.0,5.2,2.0,1.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,22.0,3.292,0.769,3.462,1.731,3.462,14.3,4.5,0.409,0.091,4.5,15.577
buehlwa01,Walker Buehler,29.0,LAD,NLWS,1.0,1.0,0.5,3.6,4.0,3.0,1.0,0.0,0.0,1.0,15.0,12.0,6.0,6.0,1.0,5.0,1.0,13.0,1.0,0.0,1.0,63.0,3.233,1.133,7.2,0.6,3.0,7.8,2.6,0.206,0.079,2.6,7.8
burneco01,Corbin Burnes,29.0,BAL,AL,0.0,1.0,0.0,1.13,1.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,27.0,2.725,0.75,5.625,0.0,1.125,3.4,3.0,0.111,0.037,3.0,3.375
buttojo01,José Buttó,26.0,NYM,NL,0.0,0.0,,6.43,6.0,0.0,2.0,0.0,0.0,0.0,7.0,6.0,6.0,5.0,2.0,3.0,0.0,8.0,1.0,0.0,0.0,32.0,5.814,1.286,7.714,2.571,3.857,10.3,2.67,0.25,0.094,2.667,10.286
