Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,ERA+,WAR,K%,BB%,K/BB,K9
abbotan01,Andrew Abbott*,25.0,CIN,NL,10.0,10.0,0.5,3.72,25.0,25.0,0.0,0.0,0.0,0.0,138.0,127.0,60.0,57.0,25.0,52.0,1.0,114.0,2.0,0.0,5.0,586.0,4.933,1.297,8.283,1.63,3.391,7.4,2.19,118.0,3.3,0.195,0.089,2.192,7.435
abreubr01,Bryan Abreu,27.0,HOU,AL,3.0,3.0,0.5,3.1,78.0,0.0,3.0,0.0,0.0,1.0,78.1,59.0,27.0,27.0,9.0,32.0,0.0,103.0,6.0,1.0,4.0,325.0,3.19,1.165,6.799,1.037,3.688,11.8,3.22,128.0,1.7,0.317,0.098,3.219,11.869
adamja01,Jason Adam,32.0,SDP/TBR,2LG,7.0,2.0,0.778,1.95,74.0,0.0,10.0,0.0,0.0,4.0,73.2,40.0,20.0,16.0,5.0,23.0,4.0,81.0,6.0,1.0,2.0,282.0,2.717,0.861,4.918,0.615,2.828,9.9,3.52,208.0,2.5,0.287,0.082,3.522,9.959
adamsau02,Austin Adams,33.0,OAK,AL,1.0,2.0,0.333,3.92,56.0,0.0,6.0,0.0,0.0,0.0,41.1,38.0,20.0,18.0,4.0,23.0,2.0,53.0,13.0,0.0,6.0,191.0,3.465,1.484,8.321,0.876,5.036,11.5,2.3,101.0,0.5,0.277,0.12,2.304,11.606
adonjo01,Joan Adon,25.0,WSN,NL,0.0,0.0,,6.75,8.0,1.0,5.0,0.0,0.0,0.0,10.2,12.0,8.0,8.0,2.0,4.0,0.0,6.0,1.0,0.0,0.0,48.0,5.649,1.569,10.588,1.765,3.529,5.1,1.5,62.0,-0.1,0.125,0.083,1.5,5.294
aguiaju01,Julian Aguiar,23.0,CIN,NL,2.0,1.0,0.667,6.25,7.0,7.0,0.0,0.0,0.0,0.0,31.2,30.0,22.0,22.0,8.0,12.0,1.0,19.0,5.0,0.0,1.0,140.0,6.369,1.346,8.654,2.308,3.462,5.4,1.58,71.0,-0.1,0.136,0.086,1.583,5.481
akinke01,Keegan Akin*,29.0,BAL,AL,3.0,1.0,0.75,3.32,66.0,0.0,21.0,0.0,0.0,1.0,78.2,55.0,31.0,29.0,9.0,19.0,1.0,97.0,2.0,0.0,4.0,313.0,2.844,0.946,6.33,1.036,2.187,11.1,5.11,113.0,1.1,0.31,0.061,5.105,11.164
alcaljo01,Jorge Alcalá,28.0,MIN,AL,4.0,3.0,0.571,3.24,54.0,0.0,5.0,0.0,0.0,0.0,58.1,40.0,23.0,21.0,8.0,20.0,1.0,58.0,3.0,0.0,4.0,235.0,3.926,1.033,6.196,1.239,3.098,8.9,2.9,129.0,1.4,0.247,0.085,2.9,8.985
aldegsa01,Sam Aldegheri*,22.0,LAA,AL,1.0,2.0,0.333,4.85,3.0,3.0,0.0,0.0,0.0,0.0,13.0,15.0,12.0,7.0,2.0,10.0,0.0,10.0,2.0,0.0,2.0,67.0,5.869,1.923,10.385,1.385,6.923,6.9,1.0,89.0,-0.3,0.149,0.149,1.0,6.923
alexasc02,Scott Alexander*,34.0,OAK,AL,1.0,3.0,0.25,2.56,45.0,0.0,9.0,0.0,0.0,0.0,38.2,31.0,14.0,11.0,3.0,15.0,7.0,31.0,2.0,0.0,2.0,160.0,3.676,1.204,7.304,0.707,3.534,7.2,2.07,155.0,1.2,0.194,0.094,2.067,7.304
alexaty01,Tyler Alexander*,29.0,TBR,AL,6.0,5.0,0.545,5.1,23.0,9.0,1.0,0.0,0.0,0.0,107.2,110.0,61.0,61.0,23.0,24.0,1.0,90.0,5.0,0.0,0.0,455.0,4.882,1.25,9.235,1.931,2.015,7.5,3.75,78.0,0.3,0.198,0.053,3.75,7.556
allarko01,Kolby Allard*,26.0,PHI,NL,2.0,0.0,1.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,27.0,34.0,15.0,15.0,5.0,8.0,0.0,23.0,0.0,0.0,0.0,117.0,4.693,1.556,11.333,1.667,2.667,7.7,2.88,82.0,0.2,0.197,0.068,2.875,7.667
allenlo01,Logan Allen*,27.0,ARI,NL,0.0,1.0,0.0,5.46,12.0,0.0,4.0,0.0,0.0,1.0,28.0,32.0,17.0,17.0,3.0,10.0,0.0,21.0,2.0,0.0,0.0,128.0,4.064,1.5,10.286,0.964,3.214,6.8,2.1,77.0,-0.1,0.164,0.078,2.1,6.75
