Rk,Name,Age,Tm,Lg,G▼,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,Matt Olson,30,ATL,NL,162,162,162,1443.1,1370,1259,105,6,125,.996,14,11,13,11,2,8.51,8.42,1B,olsonma02
2,Willy Adames,28,MIL,NL,161,161,151,1406.1,547,204,323,20,66,.963,-8,-7,-16,-14,1,3.37,3.27,SS,adamewi01
3,Pete Alonso,29,NYM,NL,161,159,157,1412.1,1285,1179,99,7,117,.995,-1,-1,-3,-3,2,8.14,7.94,1B,alonspe01
4,Elly De La Cruz,22,CIN,NL,160,159,155,1391.0,636,247,360,29,70,.954,-1,-1,-2,-2,2,3.93,3.79,SS,delacel01
5,Jarren Duran,27,BOS,AL,160,160,125,1421.1,374,356,12,6,2,.984,3,2,23,19,3,2.33,2.30,OF,duranja01
6,Anthony Volpe,23,NYY,AL,160,158,156,1416.2,570,210,344,16,68,.972,4,4,6,5,0,3.52,3.46,SS,volpean01
7,Bobby Witt Jr.,24,KCR,AL,160,160,149,1393.2,583,207,361,15,78,.974,-1,-1,2,2,4,3.67,3.55,SS,wittbo02
8,Marcus Semien,33,TEX,AL,159,159,148,1382.2,610,214,389,7,77,.989,14,12,10,9,-2,3.93,3.79,2B,semiema01
9,Willi Castro,27,MIN,AL,158,150,116,1334.1,433,247,178,8,24,.982,-27,-24,-18,-16,0,2.87,2.31,SS-OF-2B-3B-P,castrwi01
10,Orlando Arcia,29,ATL,NL,157,156,150,1381.1,572,168,393,11,87,.981,-3,-3,-1,-1,2,3.66,3.57,SS,arciaor01
11,JJ Bleday,26,OAK,AL,157,144,134,1295.0,405,392,8,5,1,.988,0,0,-19,-17,1,2.78,2.55,OF,bledajj01
12,Nick Castellanos,32,PHI,NL,157,157,143,1363.2,269,263,3,3,0,.989,-2,-2,-11,-9,-2,1.76,1.69,OF,casteni01
13,Gunnar Henderson,23,BAL,AL,157,157,149,1384.0,635,232,378,25,71,.961,1,1,5,4,-2,3.97,3.89,SS,hendegu01
14,Jeremy Peña,26,HOU,AL,157,157,153,1388.0,620,221,380,19,86,.969,6,5,4,3,-2,3.90,3.83,SS,penaje02
15,Ezequiel Tovar,22,COL,NL,157,156,156,1375.2,676,233,435,8,113,.988,18,15,10,9,-1,4.37,4.25,SS,tovarez01
16,Corbin Carroll,23,ARI,NL,156,146,139,1317.0,366,358,6,2,2,.995,-11,-10,-3,-2,-1,2.49,2.33,OF,carroco02
17,Maikel Garcia,24,KCR,AL,156,142,125,1270.0,398,112,272,14,29,.965,-8,-7,-1,0,1,2.72,2.31,3B-2B-SS-OF,garcima01
18,Jackson Merrill,21,SDP,NL,155,148,147,1323.1,403,392,8,3,4,.993,-2,-2,0,0,-2,2.72,2.58,OF,merrija01
19,Zach Neto,23,LAA,AL,155,153,148,1332.2,654,231,405,18,103,.972,14,13,11,10,-1,4.30,4.10,SS,netoza01
20,Eugenio Suárez,32,ARI,NL,155,154,146,1361.2,390,88,292,10,33,.974,3,3,-4,-4,-3,2.51,2.45,3B,suareeu01
21,Matt Chapman,31,SFG,NL,154,153,147,1338.0,405,100,290,15,34,.963,15,13,17,15,2,2.62,2.53,3B,chapmma01
22,Teoscar Hernández,31,LAD,NL,154,154,104,1308.0,263,253,7,3,3,.989,-1,-1,-3,-2,0,1.79,1.69,OF,hernate01
23,Gleyber Torres,27,NYY,AL,153,152,144,1342.2,582,234,330,18,74,.969,-9,-8,-11,-10,-2,3.78,3.69,2B,torregl01
24,Andrés Giménez,25,CLE,AL,152,151,144,1331.0,638,233,396,9,93,.986,14,12,20,18,1,4.25,4.14,2B,gimenan01
25,Ryan McMahon,29,COL,NL,152,149,142,1306.2,436,98,323,15,33,.966,11,10,10,9,0,2.90,2.77,3B,mcmahry01
26,Brice Turang,24,MIL,NL,152,142,132,1277.2,626,240,379,7,78,.989,12,11,22,21,1,4.36,4.07,2B,turanbr02
27,Francisco Lindor,30,NYM,NL,151,150,141,1311.2,564,194,358,12,74,.979,6,5,1,1,-1,3.79,3.66,SS,lindofr01
28,Ceddanne Rafaela,23,BOS,AL,151,147,114,1333.1,489,297,180,12,41,.975,0,0,10,9,-2,3.22,2.61,SS-OF-2B-3B,rafaece01
29,Juan Soto,25,NYY,AL,151,151,140,1329.2,314,302,10,2,1,.994,2,2,0,0,3,2.11,2.07,OF,sotoju01
30,Spencer Steer,26,CIN,NL,151,150,116,1306.1,601,548,47,6,30,.990,-1,-1,-1,0,1,4.10,3.44,OF-1B-2B-SS,steersp01
31,Paul Goldschmidt,36,STL,NL,150,148,143,1313.0,1323,1216,102,5,137,.996,-7,-6,0,0,0,9.03,8.79,1B,goldspa01
32,Nico Hoerner,27,CHC,NL,150,149,137,1307.1,610,238,363,9,64,.985,-4,-4,3,3,1,4.14,3.90,2B-SS,hoernni01
33,Jurickson Profar,31,SDP,NL,150,150,93,1221.2,249,243,5,1,1,.996,-6,-6,-8,-7,0,1.83,1.65,OF-1B,profaju01
34,Jake Cronenworth,30,SDP,NL,149,146,132,1293.1,923,709,208,6,99,.993,-1,-1,-1,-1,2,6.38,5.92,1B-2B,croneja01
35,Alex Verdugo,28,NYY,AL,149,145,134,1308.2,293,285,7,1,1,.997,7,6,7,6,1,2.01,1.96,OF,verdual01
36,Jacob Young,24,WSN,NL,149,142,137,1251.2,401,388,5,8,2,.980,8,8,12,11,-4,2.83,2.64,OF,youngja03
37,Brendan Donovan,27,STL,NL,148,145,121,1292.0,394,242,150,2,28,.995,-3,-2,0,0,-1,2.73,2.35,OF-2B-3B,donovbr01
38,Dansby Swanson,30,CHC,NL,148,146,137,1273.1,506,166,335,5,56,.990,1,1,7,7,-1,3.54,3.39,SS,swansda01
39,Leody Taveras,25,TEX,AL,148,138,128,1227.0,388,376,9,3,2,.992,-14,-14,-10,-9,-1,2.82,2.60,OF,taverle01
